cell,grade,detail
variant-param,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref $type) (at offset 0xc3)"
nulvariant-param-is,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0xce)"
nulvariant-param-nenull,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0xce)"
nulvariant-local-is,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0xc2)"
nulvariant-global-is,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
variant-global,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
union-param,runs,printed 7
struct-param,runs,printed 7
nulstruct-param-is,runs,printed 7
nullist-param-nenull,runs,printed 7
nulreflist-param-nenull,runs,printed 7
nulreflist-field-nenull,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0xd2)"
nulstr-param-nenull,runs,printed 7
nulmap-param-nenull,runs,printed 7
nulclosure-param-is,runs,printed 7
nulbool-param-nenull,runs,printed 7
nulf64list-param-nenull,runs,printed 7
nuli64list-param-nenull,runs,printed 7
nulf32list-param-nenull,runs,printed 7
u8list-param,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref $type) (at offset 0x10e)"
u8list-local,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref $type) (at offset 0x117)"
i32-param,runs,printed 7
string-param,runs,printed 7
i32list-param,runs,printed 7
bool-literal,runs,printed 7
i32-literal,runs,printed 7
