cell,grade,detail
nulunion-arg,runs,printed 5
nulunion-param-arg,runs,printed 5
nulunion-literal-arg,runs,printed 5
nulunion-field,runs,printed 5
nulunion-listelem,runs,printed 5
nulunion-mapval,runs,printed 5
nulunion-generic,runs,printed 7
nulunion-assign,runs,printed 5
nulunion-return,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xf3)"
u3-niche-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xea)"
u3-nulunion-arg,runs,printed 5
u3-variant-generic,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref $type) (at offset 0xdf)"
sameshape-niche-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xe2)"
sameshape-literal-niche,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xce)"
sameshape-generic,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref $type) (at offset 0xd7)"
variant-capture-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref $type) (at offset 0x132)"
niche-capture-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0x149)"
variant-as-cast-arg,loud check reject,"[ERROR]: `as Circle` propagates Sq, which the enclosing function cannot return (it returns i32)"
niche-asq-cast-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0x10f)"
variant-lambda-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref $type) (at offset 0x156)"
generic-union-arg,runs,printed 7
generic-union-array,loud emit reject,[ERROR]: emitProgram: monomorphize: expected an array argument for `xs` in a call to `first`
generic-variant-array,loud emit reject,[ERROR]: emitProgram: monomorphize: expected an array argument for `xs` in a call to `first`
generic-niche-array,loud emit reject,[ERROR]: emitProgram: a nullable-Circle list element has no rep; use a non-null element type
generic-roundtrip-variant,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found i32 (at offset 0xd3)"
generic-roundtrip-niche,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found i32 (at offset 0xd9)"
generic-roundtrip-union,runs,printed 5
mixed-niche-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0x105)"
mixed-literal-niche-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected i32, found (ref null $type) (at offset 0xf1)"
mixed-generic,runs,printed 7
